StationID,Station Name,Transport ID,Type,Country,District,Begin Date,End Date,Latitude,Longitude,Status
20ZorgEnHoopAWS,Zorg en Hoop AWS,4EC0D964,AWS,Suriname,Paramaribo,5/4/2020,4/1/2024,5.810896,-55.193036,Niet-operationeel
30ZanderijKlima,Zanderij Klima,,Klima-RR,Suriname,Para,,,5.4494444,-55.2044444,Operationeel
30ZorgEnHoopKlima,Zorg en Hoop Klima,,Klima-RR,Suriname,Paramaribo,,,5.8113889,-55.1866667,Operationeel
30NickerieKlima,Nickerie Klima,,Klima-RR,Suriname,Nickerie,,,5.9563889,-57.0394444,Operationeel
40AlalapaduLVT,Alalapadu LVT,,LVT,Suriname,Sipaliwini,,,2.523411616,-56.324665,Operationeel
40ApoeraLVT,Apoera LVT,,LVT,Suriname,Sipaliwini,,,5.18115304,-57.161085,Operationeel
40ApetinaLVT,Apetina LVT,,LVT,Suriname,Sipaliwini,,,3.569083795,-55.06069875,Operationeel
40BotopasieLVT,Botopasie LVT,,LVT,Suriname,Sipaliwini,,,4.264036243,-55.45045236,Operationeel
40CayanaLVT,Cayana LVT,,LVT,Suriname,Sipaliwini,,,3.898898041,-55.57812224,Operationeel
40CoeroenieLVT,Coeroenie LVT,,LVT,Suriname,Sipaliwini,,,2.794556525,-56.73994922,Operationeel
40CotticaLVT,Cottica LVT,,LVT,Suriname,Sipaliwini,,,3.85337722,-54.22525074,Operationeel
40DjoemoeLVT,Djoemoe LVT,,LVT,Suriname,Sipaliwini,,,4.010013981,-55.46651268,Operationeel
40DonderskampLVT,Donderskamp LVT,,LVT,Suriname,Sipaliwini,,,5.35098,-56.3618,Operationeel
40DrietabbetjeLVT,Drietabbetje LVT,,LVT,Suriname,Sipaliwini,,,4.126724855,-54.62453545,Operationeel
40GodoholoLVT,Godoholo LVT,,LVT,Suriname,Sipaliwini,,,4.057689572,-54.78481344,Operationeel
40KabaleboLVT,Kabalebo LVT,,LVT,Suriname,Sipaliwini,,,4.40137219,-57.21799155,Niet-operationeel
